state_code,state,capital,region,lat,lon,metric,slope_per_year,slope_per_decade,intercept,method,n_years,first_year,last_year
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_t2m_max_c,0.029591976516634082,0.29591976516634083,-29.95201170158166,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_t2m_min_c,0.020097716894977087,0.20097716894977086,-15.684321648326808,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_t2m_range_c,0.011516811955168104,0.11516811955168105,-18.301877957658746,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_rh2m_pct,-0.0535322896281803,-0.5353228962818031,191.85999706457977,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_solar_kwh_m2_day,0.02451502732240396,0.2451502732240396,-32.57997224717336,theilslopes,43,1984,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_ws10m_m_s,0.00017233760494917588,0.0017233760494917588,0.8604922499994097,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_ws50m_m_s,0.0014956874682902283,0.014956874682902284,-0.8020042958971052,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_vpd_kpa,0.002830241405339317,0.02830241405339317,-5.112645176712406,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,annual_precip_mm,-19.334285714285734,-193.34285714285733,40878.30642857147,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,rainy_days_ge_1mm,-2.3529411764705883,-23.529411764705884,4988.117647058823,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,heavy_rain_days_ge_20mm,0.041666666666666664,0.41666666666666663,-65.47916666666666,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,extreme_rain_days_ge_50mm,0.0,0.0,0.0,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,dry_days_lt_1mm,2.074074074074074,20.74074074074074,-4066.907407407407,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,longest_dry_spell_days,0.375,3.75,-736.8125,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,max_1day_precip_mm,0.4058333333333337,4.058333333333337,-772.4670833333341,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,max_5day_precip_mm,0.341666666666667,3.41666666666667,-571.2291666666674,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,rainfall_concentration,0.0006252363422209586,0.006252363422209586,-1.2009500907068207,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_t2m_c,0.029495890410959902,0.294958904109599,-32.74984513062555,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_t2m_max_c,0.0313385518591,0.313385518591,-32.762915755029105,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_t2m_min_c,0.027373599003735937,0.2737359900373594,-31.443991905354814,theilslopes,46,1981,2026
AP,Amapá,Macapá,Norte,0.0349,-51.0694,mean_t2m_range_c,0.003763209393346369,0.03763209393346369,-0.8921516634050661,theilslopes,46,1981,2026
